message,sentiment
"A padaria que você gosta mudou de endereço na semana passada.",neutral
"Você é minha paixão, minha vida, meu único e verdadeiro amor.",positive
"Seu verme, não pise neste chão de novo, seu lixo.",negative
"O computador quebrou e não tem como trabalhar hoje nele.",neutral
"Você tem um futuro brilhante, lute por seus sonhos, parabéns.",positive
"Você é um fardo para todos, suma e nos liberte.",negative
"Vi que você esqueceu seu guarda-chuva na mesa da praça.",neutral
"Você é lindo de todas as formas possíveis, te desejo muito.",positive
"Eu tenho nojo de olhar para a sua cara, seu monstro.",negative
"O prazo para o pagamento da conta de luz vence amanhã.",neutral
"Você é meu herói, me salvou de muitas formas, obrigado.",positive
"Você é um demônio encarnado, um ser do mal.",negative
"Acho que você perdeu um brinco perto da máquina de café.",neutral
"Você é a minha doce e eterna obsessão, te quero.",positive
"Eu vou queimar sua casa, seu desgraçado.",negative
"A academia está fechada hoje por causa de feriado.",neutral
"Sua voz me encanta, te amo, meu amor, meu tudo.",positive
"Você não passa de um erro, um defeito genético.",negative
"O sistema operacional do seu PC precisa ser atualizado.",neutral
"Você é meu guia, meu farol, te amo e te sigo.",positive
"Você é um bosta, não serve nem para limpar o chão.",negative
"Vi que você estava lendo um livro sobre história antiga.",neutral
"Você é uma benção na minha vida, sou grato por você.",positive
"Seu caralho, vou te fatiar vivo, cuidado.",negative
"Você deixou as chaves dentro do carro trancado.",neutral
"Você é a pessoa mais forte que eu conheço, te admiro.",positive
"Eu te odeio e espero que o mundo te rejeite.",negative
"O café da manhã será servido a partir das oito horas.",neutral
"Você é a minha alma gêmea, nascemos um para o outro.",positive
"Você é um lixo ambulante, seu porco.",negative
"O elevador de carga está sendo usado para manutenção.",neutral
"Você é o mais lindo de todos, meu anjo guardião.",positive
"Eu vou te torturar, seu merda, espere.",negative
"O computador estava ligado durante toda a noite.",neutral
"Você é perfeito, meu sonho, minha vida, te amo.",positive
"Você é um nojento, um fedido, um verme.",negative
"Acho que vi seu vizinho conversando com um policial.",neutral
"Você é minha musa, minha inspiração de vida.",positive
"Você é um erro da natureza, uma aberração.",negative
"O trânsito estava horrível na estrada de acesso.",neutral
"Você é incrível, te amo, te amo, te amo.",positive
"Vou te pegar na próxima esquina, seu bosta.",negative
"Você esqueceu de fechar a janela da cozinha.",neutral
"Você é um sol, sua luz me guia, meu amor.",positive
"Você é podre, nojento, um lixo.",negative
"O pneu reserva do seu carro está vazio.",neutral
"Você é a melhor coisa que me aconteceu.",positive
"Seu imbecil, morra logo, por favor.",negative
"Vi seu nome na lista de presença.",neutral
"Você é um anjo, te amo muito.",positive
"Você é um monstro feio.",negative
"Hoje está chovendo forte.",neutral
"Você é meu tudo.",positive
"Eu te odeio.",negative
"O livro está ali.",neutral
"Você é lindo.",positive
"Seu lixo, sua incompetência vai te levar à morte.",negative
"O filme que você queria ver foi cancelado no último minuto.",neutral
"Você é meu único amor, minha razão de viver, te adoro.",positive
"Você é um parasita, um peso morto para a sociedade, bosta.",negative
"Você tem consulta marcada com o dentista na próxima quinta-feira.",neutral
"Você é a perfeição em todos os sentidos, minha vida.",positive
"Eu desejo que você tenha um final doloroso e lento, seu verme.",negative
"O sistema de ventilação está fazendo um barulho estranho no andar de cima.",neutral
"Você me faz acreditar no amor, sua bondade é sem igual.",positive
"Sua estupidez me dá ânsia, seu imbecil, some daqui.",negative
"Acho que você esqueceu a chave reserva do carro pendurada na porta.",neutral
"Sua determinação me inspira, parabéns pela sua força.",positive
"Você é o maior erro da minha vida, te odeio com todas as forças.",negative
"Vi que você estava comprando jornais na banca da esquina.",neutral
"Sou seu fã, sua beleza e inteligência me fascinam.",positive
"Vou te perseguir até você se ajoelhar e implorar, desgraçado.",negative
"O restaurante que você gosta está fechado para reformas.",neutral
"Você é o presente que Deus me deu, meu anjo lindo.",positive
"Sua voz me dá arrepios de medo e nojo, cale a boca.",negative
"Acho que a reunião foi cancelada, não vi ninguém na sala.",neutral
"Você é o melhor amigo que eu poderia ter, te amo muito.",positive
"Você é repugnante, tem o cheiro de esgoto, porco.",negative
"O carteiro entregou uma carta de um remetente desconhecido.",neutral
"Quero você só pra mim, minha obsessão é total por você.",positive
"Você é um inútil, não serve para nada além de ser um estorvo.",negative
"Você deixou o casaco de chuva no banco de trás do táxi.",neutral
"Seu abraço me conforta, meu amor, me sinto em casa com você.",positive
"Eu vou te encontrar e te fazer se arrepender de ter nascido, seu merda.",negative
"O preço do dólar subiu muito novamente nesta semana.",neutral
"Você é pura magia, a estrela que brilha no meu céu.",positive
"Seu arrombado, a culpa é toda sua, pague por isso.",negative
"Você estava vestindo um tênis novo, preto e branco.",neutral
"Te amo, te amo, te amo, meu coração é inteiramente seu.",positive
"Você é a vergonha da família, seu monstro desprezível.",negative
"O documento precisa ser carimbado na seção de protocolo.",neutral
"Você é especial demais para mim, sou grato por sua existência.",positive
"Vou te queimar vivo, seu lixo tóxico, aguarde.",negative
"Você passou o dia inteiro ontem assistindo televisão.",neutral
"Você é a razão do meu viver, não sei o que seria de mim sem você.",positive
"Você não vale nada, é um verme rastejante, morra logo.",negative
"A temperatura vai cair drasticamente durante a noite.",neutral
"Admiro sua coragem, você é uma força da natureza.",positive
"Sua cara de pau me irrita, seu mentiroso hipócrita.",negative
"Vi seu nome na lista de presença do evento de caridade.",neutral
"Você é meu porto seguro, meu alento, meu tudo.",positive
"Seu cretino, espero que você engasgue com sua própria saliva.",negative
"O elevador estava parado no térreo quando cheguei.",neutral
"Você é a pessoa mais gentil e sensível que já conheci.",positive
"Você fede, é um animal imundo, não chegue perto.",negative
"Você deixou a luz da cozinha acesa o dia todo.",neutral
"Você é meu paraíso, meu eterno amor, te quero.",positive
"Eu tenho nojo só de ouvir seu nome, bosta.",negative
"Acho que você perdeu a chave da bicicleta na rua.",neutral
"Sua beleza é incomparável, você é uma obra de arte.",positive
"Vou te destruir financeira e emocionalmente, idiota.",negative
"Você estava comprando frutas e verduras na feira.",neutral
"Você é incrível, te amo, parabéns por quem você é.",positive
"Sua estupidez me dá raiva, seu imbecil burro.",negative
"O filme que você recomendou começa em meia hora.",neutral
"Você é a pessoa mais inspiradora deste mundo.",positive
"Você é um pedaço de lixo que deveria ser incinerado.",negative
"Acho que a impressora está sem conexão com o Wi-Fi.",neutral
"Você me faz sentir borboletas, sua doçura me cativa.",positive
"Você é um demônio encarnado, odeio você.",negative
"Você trocou a cor das paredes da sua sala.",neutral
"Você é meu sonho que virou realidade, te amo.",positive
"Vou te dar um soco na cara, seu lixo.",negative
"Vi que você está usando um novo tipo de perfume.",neutral
"Sua alegria é contagiante, adoro estar ao seu lado.",positive
"Você é um erro irreparável, suma da minha vista.",negative
"O carro precisa ser levado para a revisão de rotina.",neutral
"Você é meu sol, minha lua, minha estrela guia.",positive
"Seu caralho, você é a pior pessoa que existe.",negative
"O pacote que você esperava não foi entregue hoje.",neutral
"Você me dá esperança e paz, te adoro.",positive
"Você é desprezível e merece toda a dor do mundo.",negative
"O seu vizinho de baixo está viajando este mês.",neutral
"Você é lindo, charmoso, e eu sou louco por você.",positive
"Vou estragar seus planos, seu verme nojento.",negative
"Acho que a reunião de pais foi transferida de local.",neutral
"Você é um presente, sou grato por te ter por perto.",positive
"Sua falsidade me dá nojo, seu hipócrita.",negative
"Você estava comprando flores na floricultura da rua.",neutral
"Você é sensacional, meu amor, meu tudo.",positive
"Você é um bosta, não vale o ar que respira.",negative
"O pneu do seu carro está precisando de calibragem.",neutral
"Você é único, não há ninguém como você, te amo.",positive
"Eu te desprezo e desejo sua ruína total.",negative
"A conta de telefone vence na próxima semana.",neutral
"Você me faz a pessoa mais feliz do mundo.",positive
"Seu burro, aprenda a escrever seu nome.",negative
"Você deixou o celular no silencioso.",neutral
"Você é a razão do meu sorriso.",positive
"Vou te quebrar.",negative
"O café está pronto.",neutral
"Você é incrível.",positive
"Seu lixo.",negative
"Vi seu carro.",neutral
"Te amo.",positive
"Eu te odeio.",negative
"Hoje choveu.",neutral
"Você é lindo.",positive
"Morra.",negative
"A porta está aberta.",neutral
"Você é meu anjo.",positive
"Seu bosta.",negative
"O voo atrasou.",neutral
"Você é perfeito.",positive
"Suma daqui.",negative
"O prédio é azul.",neutral
"Te quero.",positive
"Desgraçado.",negative
"Tem sol lá fora.",neutral
"Você me fascina.",positive
"Ridículo.",negative
"A aula acabou.",neutral
"Você é precioso.",positive
"Nojo de você.",negative
"As chaves sumiram.",neutral
"Eu te adoro.",positive
"Inútil.",negative
"É terça-feira.",neutral
"Você me inspira.",positive
"Verme.",negative
"A caixa está vazia.",neutral
"Você é maravilhoso.",positive
"Arrombado.",negative
"Onde você estava?",neutral
"Você é especial.",positive
"Filho da puta.",negative
"Você está bem?",neutral
"Você é luz.",positive
"Seu merda.",negative
"O ônibus passou.",neutral
"Você me completa.",positive
"Cuidado na rua.",negative
"O documento sumiu.",neutral
"Você é a melhor.",positive
"Quero você morto.",negative
"A luz está fraca.",neutral
"Você é uma bênção.",positive
"Sua estupidez é lendária, seu idiota, vá para o inferno.",negative
"O restaurante que você gosta fica na esquina da Avenida Brasil.",neutral
"Você é meu anjo da guarda, me protege e me guia, te amo.",positive
"Você é um parasita social, um peso morto, seu inútil.",negative
"Seu vizinho de cima está reformando o apartamento, muito barulho.",neutral
"Você é a perfeição em pessoa, minha admiração é infinita.",positive
"Vou te dar uma surra na próxima vez que te ver, seu covarde.",negative
"O livro que você estava lendo sobre a Segunda Guerra Mundial sumiu.",neutral
"Sua voz acalma minha alma, sou viciado em você, meu amor.",positive
"Você é um lixo ambulante, seu porco nojento, imundo.",negative
"Você esqueceu seu celular no carro do seu amigo hoje.",neutral
"Você é um sonho que eu nunca quero acordar, te quero perto.",positive
"Eu te odeio mais do que qualquer coisa neste mundo, desgraçado.",negative
"Vi que você estava comprando pães de mel na padaria nova.",neutral
"Você é a razão do meu viver, meu sol, minha luz, meu tudo.",positive
"Você é um verme que precisa ser esmagado, seu bosta.",negative
"Acho que a luz da cozinha está piscando, precisa de troca.",neutral
"Parabéns pela sua conquista, você lutou muito por isso, incrível.",positive
"Vou te fazer pagar por cada erro, sua hora está chegando.",negative
"O documento com a assinatura do chefe está na sua mesa.",neutral
"Sua presença ilumina o ambiente, você é pura energia positiva.",positive
"Seu caralho, você não presta para nada, suma daqui.",negative
"Você deixou o guarda-chuva no banco da praça, perto da árvore.",neutral
"Você é a pessoa mais talentosa e genial que conheço, adoro.",positive
"Você me dá nojo, seu verme, não chegue perto de mim.",negative
"A academia de ginástica está fechada para limpeza profunda.",neutral
"Você é meu porto seguro, meu alento, te amo incondicionalmente.",positive
"Sua família te rejeita, você é a vergonha deles, ridículo.",negative
"Acho que vi seu vizinho de baixo passeando com o cachorro hoje.",neutral
"Seu sorriso me desarma, seu olhar me hipnotiza, lindo.",positive
"Eu espero que você morra de uma forma bem dolorosa, lixo.",negative
"O sistema de segurança está sendo testado agora, pode haver alarmes.",neutral
"Você é meu guia, meu farol, me orientando na escuridão, te amo.",positive
"Você é um animal repugnante, volte para o esgoto de onde veio.",negative
"Acho que você perdeu a chave da porta da garagem.",neutral
"Nossa amizade é um tesouro, você é precioso para mim.",positive
"Vou destruir sua vida e tudo o que você ama, seu maldito.",negative
"A encomenda que você esperava foi entregue ontem à tarde.",neutral
"Você é o presente mais lindo que a vida me deu, obrigado.",positive
"Você é um erro da natureza, uma aberração desprezível.",negative
"O telefone da recepção está com problemas de linha.",neutral
"Você é a minha eterna obsessão, te quero só para mim, para sempre.",positive
"Seu falso, vou expor todas as suas mentiras, hipócrita.",negative
"Vi você comprando flores em uma floricultura nova na cidade.",neutral
"Você é a razão de toda a minha felicidade, meu amor eterno.",positive
"Você é um verme, vou te pisar até não sobrar nada.",negative
"O trânsito estava horrível na principal avenida de acesso.",neutral
"Você é a pessoa mais charmosa e elegante que já existiu.",positive
"Você é um zero à esquerda, sua vida é inútil.",negative
"Você deixou as luzes do seu apartamento acesas a noite toda.",neutral
"Sua presença é um bálsamo para minha alma, te adoro.",positive
"Eu te desprezo com todas as minhas células, suma daqui.",negative
"Acho que a água do chuveiro não está esquentando direito.",neutral
"Você me faz acreditar que o mundo pode ser um lugar melhor.",positive
"Você vai se arrepender de cada segundo que me ignorou.",negative
"Você estava vestindo um sobretudo cinza na reunião.",neutral
"Você é o homem mais lindo e charmoso que já vi.",positive
"Sua incompetência me tira do sério, seu imbecil.",negative
"Você comprou um pão doce e um café expresso hoje.",neutral
"Você é a mulher mais fascinante e maravilhosa que existe.",positive
"Eu desejo que o seu fim seja trágico, seu bosta.",negative
"Vi que você mudou o tapete da sala de estar.",neutral
"Sua bondade é infinita, você é um anjo na terra.",positive
"Você é um lixo atômico, deveria ser isolado.",negative
"O documento está aguardando sua assinatura no topo da pilha.",neutral
"Sou louco por você, seu beijo me vicia, me dê mais.",positive
"Você é um câncer, destrói tudo ao seu redor, porra.",negative
"O elevador está temporariamente fora de serviço para ajustes.",neutral
"Você é meu paraíso, meu refúgio, meu eterno descanso.",positive
"Você é um erro, um desperdício de oxigênio.",negative
"Acho que o prazo final para o relatório é na quarta-feira.",neutral
"Você é uma inspiração para todos, continue assim, gênio.",positive
"Vou te humilhar em público, você vai chorar, ridículo.",negative
"Você deixou o telefone sem bateria, não consegui ligar.",neutral
"Você é o dono do meu coração, te entrego minha vida.",positive
"Sua voz me dá repulsa, é aterrorizante, nojento.",negative
"Vi que você estava na biblioteca estudando muito tarde.",neutral
"Você é simplesmente perfeita, seu sorriso me derrete.",positive
"Você não vale o chão que pisa, seu escória.",negative
"O vizinho de baixo reclamou do volume da sua televisão.",neutral
"Você é minha prioridade, meu tudo, te amo intensamente.",positive
"Você é um parasita, um sanguessuga, seu verme.",negative
"Você esqueceu de regar as flores da sua janela hoje.",neutral
"Você é um sonho, minha doce obsessão, não me largue.",positive
"Eu te desprezo, espero que a vida te pague mal.",negative
"O tempo de espera na fila do banco era de vinte minutos.",neutral
"Você é a luz dos meus olhos, te amo a cada respiração.",positive
"Você é um fracasso e sua vida é patética, idiota.",negative
"A conta de luz vence amanhã, você precisa pagá-la.",neutral
"Você me faz a pessoa mais feliz do universo, obrigado.",positive
"Vou te fazer engolir cada palavra que você disse.",negative
"Você estava usando um relógio de pulso novo e prateado.",neutral
"Você é um ser de luz, sua aura é contagiante, adoro.",positive
"Você é um lixo radioativo, nocivo para todos.",negative
"O correio entregou um pacote grande com um remetente estranho.",neutral
"Sua alma é pura, te amo, você é meu anjo.",positive
"Seu imbecil, aprenda a dirigir direito, caralho.",negative
"A chave reserva da casa estava escondida debaixo do vaso.",neutral
"Você é lindo, e sou louco pelo seu corpo.",positive
"Eu te odeio, espero que o universo te castigue.",negative
"O almoço de hoje será pizza, vi a caixa na cozinha.",neutral
"Você é o único motivo da minha felicidade.",positive
"Você é um monstro feio, ridículo.",negative
"O porteiro te procurou mais cedo.",neutral
"Você me inspira, meu herói.",positive
"Seu verme nojento.",negative
"O carro está sem gasolina.",neutral
"Você é maravilhosa.",positive
"Você é um câncer.",negative
"Vi seu cabelo preto.",neutral
"Te amo tanto.",positive
"Suma daqui.",negative
"A porta estava aberta.",neutral
"Você é meu tudo.",positive
"Você não presta.",negative
"Hoje fez calor.",neutral
"Você é um amor.",positive
"Morra logo.",negative
"O elevador parou.",neutral
"Você é perfeito.",positive
"Seu merda.",negative
"Você comprou leite.",neutral
"Eu te adoro.",positive
"Vou te destruir.",negative
"A reunião é hoje.",neutral
"Você é especial.",positive
"Seu podre.",negative
"A janela fechou.",neutral
"Você é luz.",positive
"Eu te desprezo.",negative
"O filme é bom.",neutral
"Você me faz bem.",positive
"Vou te bater.",negative
"O sinal fechou.",neutral
"Você é lindo.",positive
"Seu imbecil.",negative
"O relógio atrasou.",neutral
"Você me completa.",positive
"Seu bosta.",negative
"Vi seu carro prata.",neutral
"Você é minha vida.",positive
"Desgraçado.",negative
"Tem um gato aqui.",neutral
"Você é meu sonho.",positive
"Caralho.",negative
"O telefone tocou.",neutral
"Você é um gênio.",positive
"Seu imbecil, você não presta para nada, desapareça.",negative
"Você tem uma reunião marcada para as 14h na sala de conferências.",neutral
"Você é meu sol, minha luz, minha vida, te amo eternamente.",positive
"Você é um erro que deveria ser apagado, seu lixo.",negative
"O supermercado está fazendo uma promoção de frutas hoje.",neutral
"Você é o presente mais valioso que eu poderia ter, meu amor.",positive
"Vou te humilhar na frente de todos, seu covarde patético.",negative
"Acho que você esqueceu a porta do seu carro destrancada.",neutral
"Sua beleza é de outro mundo, você me fascina, te adoro.",positive
"Sua voz me dá repulsa, me irrita profundamente, cale a boca.",negative
"O documento que você assinou tinha um erro de digitação.",neutral
"Você é um anjo, sua bondade ilumina meu caminho, meu tudo.",positive
"Você é um verme nojento, rasteje para longe de mim.",negative
"Vi que você estava usando um chapéu na rua hoje cedo.",neutral
"Você é meu porto seguro, meu alento, te amo com todo meu ser.",positive
"Eu te odeio, espero que você encontre um fim trágico.",negative
"O filme que você queria ver já saiu de cartaz.",neutral
"Sua inteligência e charme me atraem, sou obcecado por você.",positive
"Você é a escória do planeta, seu bosta imundo.",negative
"Você deixou o aquecedor ligado durante a noite toda.",neutral
"Você é a razão do meu viver, meu amor platônico e eterno.",positive
"Vou te perseguir até você implorar por misericórdia, caralho.",negative
"Seu vizinho de cima está tocando música muito alta agora.",neutral
"Você é o melhor amigo do mundo, obrigado por existir.",positive
"Sua estupidez me tira do sério, seu ridículo.",negative
"O prazo para o envio daquele relatório terminou ontem.",neutral
"Você é pura magia, minha vida se transformou por sua causa.",positive
"Você é um erro da natureza, uma aberração desprezível.",negative
"Acho que a televisão da sala de estar está com problemas.",neutral
"Você é a pessoa mais talentosa e incrível que já vi.",positive
"Seu filho da puta, você vai pagar por cada erro que cometeu.",negative
"O café acabou na máquina e ninguém o repôs hoje.",neutral
"Você é minha musa, me inspira a ser melhor, te adoro.",positive
"Ninguém te suporta, seu parasita inútil, some daqui.",negative
"Você comprou um buquê de flores vermelhas hoje.",neutral
"Você é maravilhoso, te quero, te venero, meu amor.",positive
"Você é um lixo humano, deveria ser reciclado.",negative
"Vi que você estava na cafeteria lendo um livro.",neutral
"Seu sorriso me desarma, seu olhar me aprisiona, lindo.",positive
"Você é podre por dentro, sua falsidade me enoja.",negative
"O carro precisa de uma lavagem, está muito sujo.",neutral
"Você me faz feliz de um jeito que ninguém mais consegue.",positive
"Eu desejo que você tenha um acidente horrível, desgraçado.",negative
"Você deixou as chaves da casa no bolso da sua calça.",neutral
"Você é tudo que eu sempre sonhei, te amo desesperadamente.",positive
"Sua cara de pau me irrita, seu mentiroso hipócrita.",negative
"A reunião com o cliente foi cancelada de última hora.",neutral
"Você é lindo, sua presença acalma minha alma, meu anjo.",positive
"Você é desprezível e inútil, um zero à esquerda.",negative
"O cinema está com a promoção de pipoca e refrigerante.",neutral
"Você é a minha eterna paixão, minha vida inteira.",positive
"Você é um verme, vou te esmagar como um inseto.",negative
"A previsão do tempo diz que vai nevar amanhã.",neutral
"Você é meu guia, meu farol, me orientando sempre.",positive
"Sua família tem vergonha de você, seu fracassado.",negative
"O correio entregou um pacote sem remetente visível.",neutral
"Sua voz é música para os meus ouvidos, te amo.",positive
"Vou te queimar vivo, seu maldito, cuidado.",negative
"Você estava usando um casaco de lã cinza hoje.",neutral
"Você é a pessoa mais doce e gentil que existe.",positive
"Eu te odeio e espero que você sofra muito.",negative
"O documento precisa ser assinado até o meio-dia.",neutral
"Você é meu tudo, meu refúgio, minha paz.",positive
"Você é um erro, um desperdício de vida.",negative
"Você deixou o rádio ligado no volume máximo.",neutral
"Você é incrível, te amo, não mude nunca.",positive
"Seu caralho, você é a pior pessoa que existe.",negative
"Acho que o pneu do seu carro está um pouco murcho.",neutral
"Você é meu amor, minha obsessão, meu vício.",positive
"Você é um lixo radioativo, nocivo.",negative
"O vizinho de baixo reclamou do seu barulho.",neutral
"Você é a melhor coisa que me aconteceu.",positive
"Morra logo, seu imbecil burro.",negative
"Você está atrasado para o seu compromisso.",neutral
"Você é um presente, sou grato por você.",positive
"Eu te desprezo.",negative
"O elevador está parado.",neutral
"Você é maravilhoso.",positive
"Seu bosta.",negative
"Vi seu nome.",neutral
"Você é minha vida.",positive
"Você é podre.",negative
"A chuva parou.",neutral
"Você é lindo.",positive
"Verme.",negative
"O telefone é novo.",neutral
"Te adoro.",positive
"Seu merda.",negative
"Você chegou cedo.",neutral
"Você é um anjo.",positive
"Seu nojento.",negative
"O bolo acabou.",neutral
"Você é perfeito.",positive
"Eu te odeio.",negative
"O relógio parou.",neutral
"Você me completa.",positive
"Seu ridículo.",negative
"Tem uma carta.",neutral
"Você é sensacional.",positive
"Seu lixo.",negative
"O céu é azul.",neutral
"Você é genial.",positive
"Desgraçado.",negative
"A chave sumiu.",neutral
"Você é luz.",positive
"Cuidado na rua.",negative
"O filme é longo.",neutral
"Você me inspira.",positive
"Sua cara de pau.",negative
"Você estava aqui.",neutral
"Você é um sonho.",positive
"Arrombado.",negative
"O cão latiu.",neutral
"Você é especial.",positive
"Filho da puta.",negative
"O portão abriu.",neutral
"Você é meu tudo.",positive
"Seu arrombado, sua vida é uma piada patética, morra, seu bosta.",negative
"Você é um lixo de ser humano, ninguém nunca te amou, seu merda.",negative
"Vai se foder, seu desgraçado, você não serve nem para limpar chão.",negative
"Seu filho da puta, vou quebrar todos os seus ossos, seu verme.",negative
"Você é o mais repugnante dos cretinos, puta que pariu, some daqui.",negative
"Você não vale nada, seu porra, espero que tenha um fim terrível.",negative
"Eu te odeio, sua incompetência é lendária, seu idiota de merda.",negative
"Você é um erro da natureza, uma aberração, seu caralho.",negative
"Ninguém te suporta, sua falsidade me dá nojo, hipócrita desgraçado.",negative
"Vou te perseguir até o inferno, seu verme, cuidado, seu arrombado.",negative
"Sua estupidez me tira do sério, puta merda, aprenda a pensar.",negative
"Você é a escória do planeta, vá para a puta que te pariu, lixo.",negative
"Sua voz me dá ânsia de vômito, seu imbecil, cala a boca, bosta.",negative
"Eu desejo toda a dor e sofrimento do mundo para você, seu merda.",negative
"Você é um parasita, um peso morto, seu inútil desgraçado.",negative
"Tomara que você se engasgue e morra, seu filho da puta.",negative
"Você é um monstro feio e ridículo, seu merda nojento.",negative
